dataset,recording,kind,metric,value
ego不带tof,ego不带tof,ego,video.rgb_video_metadata.path,[local path omitted]
ego不带tof,ego不带tof,ego,video.rgb_video_metadata.codec_name,mpeg4
ego不带tof,ego不带tof,ego,video.rgb_video_metadata.codec_long_name,MPEG-4 part 2
ego不带tof,ego不带tof,ego,video.rgb_video_metadata.width,1280
ego不带tof,ego不带tof,ego,video.rgb_video_metadata.height,1280
ego不带tof,ego不带tof,ego,video.rgb_video_metadata.fps,60.0
ego不带tof,ego不带tof,ego,video.rgb_video_metadata.nb_frames,1561
ego不带tof,ego不带tof,ego,video.rgb_video_metadata.duration_s,26.016667
ego不带tof,ego不带tof,ego,video.rgb_video_metadata.pix_fmt,yuv420p
ego不带tof,ego不带tof,ego,video.rgb_video_metadata.size_bytes,81991576
ego不带tof,ego不带tof,ego,temporal.rgb_timestamps.count,1561
ego不带tof,ego不带tof,ego,temporal.rgb_timestamps.nonfinite_count,0
ego不带tof,ego不带tof,ego,temporal.rgb_timestamps.duplicate_timestamp_count,0
ego不带tof,ego不带tof,ego,temporal.rgb_timestamps.backward_timestamp_count,0
ego不带tof,ego不带tof,ego,temporal.rgb_timestamps.median_dt_ms,16.657999999551976
ego不带tof,ego不带tof,ego,temporal.rgb_timestamps.p99_dt_ms,16.68640999916534
ego不带tof,ego不带tof,ego,temporal.rgb_timestamps.max_dt_ms,16.7379999984405
ego不带tof,ego不带tof,ego,temporal.rgb_timestamps.estimated_hz,60.031216234055435
ego不带tof,ego不带tof,ego,temporal.rgb_timestamps.duration_s,25.986155000000508
ego不带tof,ego不带tof,ego,structural.rgb_frame_count.video_frames,1561
ego不带tof,ego不带tof,ego,structural.rgb_frame_count.timestamp_rows,1561
ego不带tof,ego不带tof,ego,structural.rgb_frame_count.difference,0
ego不带tof,ego不带tof,ego,video.rgb_visual_quality.sample_count,130
ego不带tof,ego不带tof,ego,video.rgb_visual_quality.black_frame_fraction,0.0
ego不带tof,ego不带tof,ego,video.rgb_visual_quality.low_detail_frame_fraction,0.0
ego不带tof,ego不带tof,ego,video.rgb_visual_quality.static_transition_fraction,0.0
ego不带tof,ego不带tof,ego,video.rgb_visual_quality.longest_static_run_s,0.0
ego不带tof,ego不带tof,ego,video.rgb_visual_quality.motion_energy_p50,5.798671722412109
ego不带tof,ego不带tof,ego,video.rgb_visual_quality.motion_energy_p99,13.062661170959473
ego不带tof,ego不带tof,ego,calibration.intrinsic.fx,394.09381103515625
ego不带tof,ego不带tof,ego,calibration.intrinsic.fy,394.0301513671875
ego不带tof,ego不带tof,ego,calibration.intrinsic.cx,640.7218017578125
ego不带tof,ego不带tof,ego,calibration.intrinsic.cy,640.3656005859375
ego不带tof,ego不带tof,ego,calibration.intrinsic.alpha,0.6833307147026062
ego不带tof,ego不带tof,ego,calibration.intrinsic.beta,0.7398630380630493
ego不带tof,ego不带tof,ego,calibration.intrinsic.width,1280.0
ego不带tof,ego不带tof,ego,calibration.intrinsic.height,1280.0
ego不带tof,ego不带tof,ego,calibration.intrinsic.model,seucm
ego不带tof,ego不带tof,ego,calibration.intrinsic.cx_is_null,True
ego不带tof,ego不带tof,ego,calibration.intrinsic.cy_is_null,True
ego不带tof,ego不带tof,ego,calibration.intrinsic.camera_matrix_is_standard_K,False
ego不带tof,ego不带tof,ego,calibration.extrinsic.finite_fraction,1.0
ego不带tof,ego不带tof,ego,calibration.extrinsic.position_norm_m,0.0253590850364429
ego不带tof,ego不带tof,ego,calibration.extrinsic.quaternion_norm_error,5.522446167027795e-09
ego不带tof,ego不带tof,ego,calibration.extrinsic.image_topic,/xv_sdk/250801DR48FP25002649/rgbd_camera/image
ego不带tof,ego不带tof,ego,trajectory.slam_pose.count,12991
ego不带tof,ego不带tof,ego,trajectory.slam_pose.nonfinite_count,0
ego不带tof,ego不带tof,ego,trajectory.slam_pose.duplicate_timestamp_count,0
ego不带tof,ego不带tof,ego,trajectory.slam_pose.backward_timestamp_count,0
ego不带tof,ego不带tof,ego,trajectory.slam_pose.median_dt_ms,2.0000000004074536
ego不带tof,ego不带tof,ego,trajectory.slam_pose.p99_dt_ms,2.162999999400199
ego不带tof,ego不带tof,ego,trajectory.slam_pose.max_dt_ms,12.851999999838881
ego不带tof,ego不带tof,ego,trajectory.slam_pose.estimated_hz,499.9999998981366
ego不带tof,ego不带tof,ego,trajectory.slam_pose.duration_s,26.007997000000614
ego不带tof,ego不带tof,ego,trajectory.slam_pose.finite_row_fraction,1.0
ego不带tof,ego不带tof,ego,trajectory.slam_pose.quaternion_norm_error_p99,2.55351295663786e-15
ego不带tof,ego不带tof,ego,trajectory.slam_pose.quaternion_norm_error_max,2.7755575615628914e-15
ego不带tof,ego不带tof,ego,trajectory.slam_pose.linear_speed_mps_p50,0.032701449795478496
ego不带tof,ego不带tof,ego,trajectory.slam_pose.linear_speed_mps_p95,0.10448043608568133
ego不带tof,ego不带tof,ego,trajectory.slam_pose.linear_speed_mps_p99,0.15846854318502943
ego不带tof,ego不带tof,ego,trajectory.slam_pose.linear_speed_mps_max,0.1896280929549639
ego不带tof,ego不带tof,ego,trajectory.slam_pose.angular_speed_radps_p50,0.07625553435446239
ego不带tof,ego不带tof,ego,trajectory.slam_pose.angular_speed_radps_p95,0.20314008074023504
ego不带tof,ego不带tof,ego,trajectory.slam_pose.angular_speed_radps_p99,0.25683330678305827
ego不带tof,ego不带tof,ego,trajectory.slam_pose.angular_speed_radps_max,0.3687151084567519
ego不带tof,ego不带tof,ego,trajectory.slam_pose.consecutive_duplicate_value_count,0
ego不带tof,ego不带tof,ego,trajectory.slam_pose.sudden_change_count,0
ego不带tof,ego不带tof,ego,trajectory.slam_pose.sudden_change_fraction,0.0
ego不带tof,ego不带tof,ego,trajectory.slam_pose.extreme_position_count,0
ego不带tof,ego不带tof,ego,trajectory.slam_pose.max_residual_z,1386.8529184163274
ego不带tof,ego不带tof,ego,inertial.imu.count,13165
ego不带tof,ego不带tof,ego,inertial.imu.nonfinite_count,0
ego不带tof,ego不带tof,ego,inertial.imu.duplicate_timestamp_count,0
ego不带tof,ego不带tof,ego,inertial.imu.backward_timestamp_count,0
ego不带tof,ego不带tof,ego,inertial.imu.median_dt_ms,1.9739999988814816
ego不带tof,ego不带tof,ego,inertial.imu.p99_dt_ms,2.011000000493368
ego不带tof,ego不带tof,ego,inertial.imu.max_dt_ms,7.905000000391738
ego不带tof,ego不带tof,ego,inertial.imu.estimated_hz,506.58561325563596
ego不带tof,ego不带tof,ego,inertial.imu.duration_s,26.007862000000387
ego不带tof,ego不带tof,ego,inertial.imu.consecutive_duplicate_count,0
ego不带tof,ego不带tof,ego,inertial.imu.consecutive_duplicate_fraction,0.0
ego不带tof,ego不带tof,ego,inertial.imu.longest_duplicate_run,0
ego不带tof,ego不带tof,ego,inertial.imu.finite_fraction,1.0
ego不带tof,ego不带tof,ego,inertial.imu.gyro_norm_radps_p01,0.00571497246843837
ego不带tof,ego不带tof,ego,inertial.imu.gyro_norm_radps_p50,0.075602534970727
ego不带tof,ego不带tof,ego,inertial.imu.gyro_norm_radps_p99,0.25740974868433447
ego不带tof,ego不带tof,ego,inertial.imu.accel_norm_mps2_p01,9.552240758331957
ego不带tof,ego不带tof,ego,inertial.imu.accel_norm_mps2_p50,9.786185613587605
ego不带tof,ego不带tof,ego,inertial.imu.accel_norm_mps2_p99,10.016228476929227
ego不带tof,ego不带tof,ego,hand.left_hand_hand.joint_file_count,21
ego不带tof,ego不带tof,ego,hand.left_hand_hand.raw_sample_to_rgb_frame_ratio,0.2863549007046765
ego不带tof,ego不带tof,ego,hand.left_hand_hand.raw_complete_sample_to_rgb_frame_ratio,0.2863549007046765
ego不带tof,ego不带tof,ego,hand.left_hand_hand.rgb_temporal_coverage_within_25ms,0.8340807174887892
ego不带tof,ego不带tof,ego,hand.left_hand_hand.duplicate_frame_id_count,0
ego不带tof,ego不带tof,ego,hand.left_hand_hand.max_joint_gap_ms,233.00000000017462
ego不带tof,ego不带tof,ego,hand.left_hand_hand.rgb_nearest_offset_p99_ms,0.9909999989758944
ego不带tof,ego不带tof,ego,hand.left_hand_hand.orthogonality_error_p99,2.555002628314933e-07
ego不带tof,ego不带tof,ego,hand.left_hand_hand.determinant_error_p99,2.0668092252318354e-07
ego不带tof,ego不带tof,ego,hand.left_hand_hand.complete_skeleton_frame_count,447
ego不带tof,ego不带tof,ego,hand.left_hand_hand.bone_length_median_m,0.02455626912460155
ego不带tof,ego不带tof,ego,hand.left_hand_hand.bone_relative_mad_p99,0.15969583192289194
ego不带tof,ego不带tof,ego,hand.left_hand_hand.projection_valid_fraction,1.0
ego不带tof,ego不带tof,ego,hand.left_hand_hand.projection_in_bounds_fraction,1.0
ego不带tof,ego不带tof,ego,hand.right_hand_hand.joint_file_count,21
ego不带tof,ego不带tof,ego,hand.right_hand_hand.raw_sample_to_rgb_frame_ratio,0.293401665598975
ego不带tof,ego不带tof,ego,hand.right_hand_hand.raw_complete_sample_to_rgb_frame_ratio,0.293401665598975
