evaluation,held_out_initial_median_observation_error_px,held_out_initial_p90_observation_error_px,median_joint_error_px,median_observation_error_px,mode,observation_count,optimizer_cost,optimizer_success,p90_joint_error_px,p90_observation_error_px,projection_model,recording,rotation_angle_deg,time_shift_ms,translation_norm_mm
zero_shift,,,49.63032091727358,48.56306459381875,direct,170,,,105.88445658642513,96.07106905887888,eucm,ego带tof,,0.0,
best_shift,,,49.26676111883344,48.1161071797868,direct,170,,,106.08315949710574,95.88605364559615,eucm,ego带tof,,-20.0,
zero_shift,,,60.48229558091465,67.4045630000559,provided_forward,170,,,100.65117621531692,88.95099178796218,eucm,ego带tof,,0.0,
best_shift,,,60.400799969678374,67.2398995927732,provided_forward,170,,,100.55559908712182,89.55727218624989,eucm,ego带tof,,-20.0,
zero_shift,,,48.395937049593186,44.4150983472566,provided_inverse,170,,,116.03665845601772,105.8271420751831,eucm,ego带tof,,0.0,
best_shift,,,48.46214712315686,43.04701746518229,provided_inverse,170,,,116.1405864068256,105.59391642658488,eucm,ego带tof,,-10.0,
zero_shift,,,42.600187246671695,42.710991045793946,direct,170,,,94.46296023945418,82.83820456749862,pinhole,ego带tof,,0.0,
best_shift,,,42.68459106640212,42.0289486467876,direct,170,,,94.3013741810083,82.78640533856465,pinhole,ego带tof,,20.0,
zero_shift,,,53.82028922836723,58.149461725188374,provided_forward,170,,,89.273346959239,78.28145197400376,pinhole,ego带tof,,0.0,
best_shift,,,53.74838075106915,57.83941242060993,provided_forward,170,,,89.1840624727461,78.22768264022291,pinhole,ego带tof,,10.0,
zero_shift,,,49.00311958580954,48.24421155256202,provided_inverse,170,,,106.20408208616588,93.17506223346182,pinhole,ego带tof,,0.0,
best_shift,,,48.999562412684135,46.98709247955659,provided_inverse,170,,,105.9326038634005,93.25115935764934,pinhole,ego带tof,,20.0,
held_out,37.00362734253978,83.06145200892526,31.387008795223156,27.414686262528008,fitted_visual_extrinsic,83,652620.0648875249,True,63.90773917326571,58.904183608748454,pinhole,ego带tof,8.20756292701201,20.0,52.26383309707498
held_out,37.00362734253978,83.06145200892526,8.490940767692882,8.347316249732906,fitted_virtual_pinhole,83,95338.78073721347,True,18.875586391253808,14.295128661073676,pinhole,ego带tof,,20.0,
zero_shift,,,33.39999188725622,24.30718898187313,direct,163,,,84.92064168535256,77.69091309464658,eucm,ego不带tof,,0.0,
best_shift,,,33.29347293887178,23.900716458370233,direct,163,,,85.02195474738018,77.65965936627408,eucm,ego不带tof,,20.0,
zero_shift,,,36.30005918462398,28.186539674205378,provided_forward,163,,,77.19987473732694,68.34317091033361,eucm,ego不带tof,,0.0,
best_shift,,,36.30005918462398,28.186539674205378,provided_forward,163,,,77.19987473732694,68.34317091033361,eucm,ego不带tof,,0.0,
zero_shift,,,45.94466821329417,39.86860813098827,provided_inverse,163,,,94.16322013825756,87.99463700011164,eucm,ego不带tof,,0.0,
best_shift,,,45.94466821329417,39.86860813098827,provided_inverse,163,,,94.16322013825756,87.99463700011164,eucm,ego不带tof,,0.0,
zero_shift,,,31.604412818879215,23.416260709010086,direct,163,,,75.55641232884754,64.4367132415562,pinhole,ego不带tof,,0.0,
best_shift,,,31.604412818879215,23.416260709010086,direct,163,,,75.55641232884754,64.4367132415562,pinhole,ego不带tof,,0.0,
zero_shift,,,33.929900893333304,27.039295027563018,provided_forward,163,,,68.19176440730362,55.05804093975398,pinhole,ego不带tof,,0.0,
best_shift,,,33.994392414689095,26.541620957864982,provided_forward,163,,,68.4208263446022,55.04784103438884,pinhole,ego不带tof,,10.0,
zero_shift,,,46.38373768798185,40.78820463551833,provided_inverse,163,,,85.30096405243759,75.86238454473022,pinhole,ego不带tof,,0.0,
best_shift,,,46.3582180639034,40.78794787004377,provided_inverse,163,,,85.24483047984529,75.76431933718004,pinhole,ego不带tof,,10.0,
held_out,24.673871727066533,63.4778563104443,15.970149924107972,12.896779559621532,fitted_visual_extrinsic,80,310128.34291212505,True,41.49135247248248,34.88017803722136,pinhole,ego不带tof,9.162257986091523,0.0,100.90483721320626
held_out,24.673871727066533,63.4778563104443,10.05352544703967,10.244150081147549,fitted_virtual_pinhole,80,101796.00093966257,True,18.476355294748085,12.052517948120798,pinhole,ego不带tof,,0.0,
